generator,target,rows,n_original_correct,n_attack_success,original_accuracy,attacked_accuracy,asr,asr_pct,wilson_ci_lower_pct,wilson_ci_upper_pct
hyperclova_x,hyperclova_x,2209,1780,235,0.8057944771389769,0.7415119963784518,0.13202247191011235,13.202247191011235,11.7085942975134,14.854386200425749
hyperclova_x,gemini,2209,2102,137,0.9515617926663649,0.9013128112267994,0.06517602283539486,6.517602283539486,5.53969156280029,7.654153475101564
hyperclova_x,gpt,2209,2023,203,0.9157990040742418,0.8460842009959257,0.10034602076124567,10.034602076124568,8.800101845271433,11.420594600278775
hyperclova_x,claude_sonnet,2209,2069,195,0.93662290629244,0.8660027161611589,0.09424842919284679,9.424842919284679,8.240006717880345,10.760069585338867
gemini,hyperclova_x,2209,1780,190,0.8057944771389769,0.7605251244907197,0.10674157303370786,10.674157303370785,9.323413031611175,12.194276050155853
gemini,gemini,2209,2102,60,0.9515617926663649,0.9348121321865097,0.028544243577545196,2.8544243577545196,2.2240225989721742,3.6568312659739264
gemini,gpt,2209,2023,117,0.9157990040742418,0.8836577636939792,0.057834898665348494,5.7834898665348495,4.847602632411816,6.8869836020280895
gemini,claude_sonnet,2209,2069,99,0.93662290629244,0.9121774558623812,0.047849202513291444,4.784920251329145,3.946029037310535,5.791399648409029
gpt,hyperclova_x,2209,1780,118,0.8057944771389769,0.7799909461294704,0.06629213483146068,6.629213483146068,5.564306445856099,7.880916370035537
gpt,gemini,2209,2102,38,0.9515617926663649,0.942960615663196,0.01807802093244529,1.8078020932445291,1.319914861711144,2.471512953819028
gpt,gpt,2209,2023,83,0.9157990040742418,0.9008601177003169,0.04102817597627286,4.102817597627286,3.321896333123636,5.057716096923823
gpt,claude_sonnet,2209,2069,72,0.93662290629244,0.9167043911272069,0.03479942000966651,3.4799420009666506,2.7724893588328414,4.359819684464945
claude_sonnet,hyperclova_x,2209,1780,138,0.8057944771389769,0.7804436396559529,0.07752808988764046,7.752808988764046,6.599444661536843,9.088129894875735
claude_sonnet,gemini,2209,2102,51,0.9515617926663649,0.9370755998189226,0.024262607040913417,2.4262607040913418,1.850179826000762,3.17590883691155
claude_sonnet,gpt,2209,2023,101,0.9157990040742418,0.8904481665912177,0.04992585269401879,4.992585269401879,4.125902296794799,6.029872735578073
claude_sonnet,claude_sonnet,2209,2069,94,0.93662290629244,0.9090086011770032,0.04543257612373127,4.543257612373127,3.7270466771595365,5.527952445148586
