category,name,rows,n_original_correct,n_attack_success,original_accuracy,attacked_accuracy,asr,asr_pct,wilson_ci_lower_pct,wilson_ci_upper_pct,bootstrap_asr_pct,bootstrap_ci_lower_pct,bootstrap_ci_upper_pct
Overall,Total,35344,31896,1931,0.9024445450430059,0.8689735174287008,0.060540506646601454,6.054050664660146,5.797581916516305,6.321103575419712,6.054050664660146,5.79069475796338,6.308079382994731
Generator,claude_sonnet,8836,7974,384,0.9024445450430059,0.8792440018107741,0.04815650865312265,4.815650865312264,4.3671014692544246,5.307714241294801,4.815650865312264,4.339102081765739,5.342362678705794
Generator,gemini,8836,7974,466,0.9024445450430059,0.8727931190583975,0.058439929771758214,5.843992977175821,5.350080215827416,6.380429391956049,5.843992977175821,5.317281163782293,6.345623275645849
Generator,gpt,8836,7974,311,0.9024445450430059,0.8851290176550475,0.039001755706044645,3.9001755706044645,3.4969701057155813,4.347776647539749,3.9001755706044645,3.4863305743666917,4.314020566842237
Generator,hyperclova_x,8836,7974,770,0.9024445450430059,0.838727931190584,0.09656383245548031,9.656383245548032,9.027389405233823,10.324229284979015,9.656383245548032,8.966641585151743,10.308502633559067
Target,claude_sonnet,8836,8276,460,0.93662290629244,0.9009732910819376,0.055582406959884,5.5582406959884,5.084928322827052,6.072790860751104,5.5582406959884,5.086998550024166,6.078117448042531
Target,gemini,8836,8408,286,0.9515617926663649,0.929040289723857,0.03401522359657469,3.401522359657469,3.034849985467452,3.8107552442514727,3.401522359657469,3.0090390104662226,3.770218839200761
Target,gpt,8836,8092,504,0.9157990040742418,0.8802625622453599,0.06228373702422145,6.228373702422145,5.722304268811147,6.775982215273327,6.228373702422145,5.721700444883836,6.722998022738505
Target,hyperclova_x,8836,7120,681,0.8057944771389769,0.7656179266636487,0.09564606741573034,9.564606741573034,8.903105534706688,10.269716694927833,9.564606741573034,8.904494382022472,10.225070224719099
Label,Entailment,12160,11580,570,0.9523026315789473,0.9194078947368421,0.04922279792746114,4.922279792746114,4.542992133624731,5.331464996049627,4.922279792746114,4.542314335060449,5.3454231433506045
Label,Neutral,11872,9548,867,0.8042452830188679,0.7682783018867925,0.09080435693338919,9.080435693338918,8.520439694997448,9.673344888977988,9.080435693338918,8.4939254294093,9.677681189777962
Label,Contradiction,11312,10768,494,0.9519094766619519,0.9204384724186704,0.04587667161961367,4.587667161961367,4.208435542575815,4.999288713414871,4.587667161961367,4.179049034175334,4.968657132243683
