label,label_name,feature,n_present,success_present,asr_present_pct,n_absent,success_absent,asr_absent_pct,asr_difference_pct_points
0,Entailment,particle_count_changed,7702,416,5.40119449493638,3878,154,3.9711191335740073,1.430075361362373
0,Entailment,negation_modality_changed,904,57,6.3053097345132745,10676,513,4.805170475833646,1.5001392586796287
0,Entailment,number_changed,237,9,3.79746835443038,11343,561,4.945781539275324,-1.1483131848449442
0,Entailment,sentence_ending_changed,4169,212,5.085152314703765,7411,358,4.830657131291324,0.25449518341244115
0,Entailment,spacing_token_count_changed,8285,436,5.262522631261316,3295,134,4.0667678300455234,1.1957548012157924
0,Entailment,word_order_shift,923,34,3.683640303358613,10657,536,5.029558036971005,-1.3459177336123918
1,Neutral,particle_count_changed,6924,661,9.546504910456385,2624,206,7.850609756097561,1.6958951543588237
1,Neutral,negation_modality_changed,640,68,10.625,8908,799,8.969465648854962,1.6555343511450378
1,Neutral,number_changed,195,19,9.743589743589745,9353,848,9.066609643964503,0.6769800996252417
1,Neutral,sentence_ending_changed,3177,283,8.907774630154233,6371,584,9.166535865641187,-0.2587612354869542
1,Neutral,spacing_token_count_changed,7207,682,9.46302206188428,2341,185,7.902605724049551,1.5604163378347282
1,Neutral,word_order_shift,708,84,11.864406779661017,8840,783,8.857466063348417,3.0069407163126005
2,Contradiction,particle_count_changed,7579,367,4.842327483836917,3189,127,3.982439636249608,0.8598878475873093
2,Contradiction,negation_modality_changed,1751,63,3.597944031981725,9017,431,4.7798602639458805,-1.1819162319641556
2,Contradiction,number_changed,180,7,3.888888888888889,10588,487,4.599546656592369,-0.7106577677034802
2,Contradiction,sentence_ending_changed,3399,200,5.884083553986467,7369,294,3.989686524630208,1.8943970293562589
2,Contradiction,spacing_token_count_changed,8047,393,4.883807630172735,2721,101,3.711870635795663,1.1719369943770723
2,Contradiction,word_order_shift,697,47,6.743185078909613,10071,447,4.438486744116771,2.3046983347928416
